"","Time","CO2.ppm"
"1",689.5,-6.4785
"2",709.5,-6.487
"3",729.5,-6.4945
"4",749.5,-6.488
"5",769.5,-6.483
"6",789.5,-6.5725
"7",809.5,-6.6165
"8",829.5,-6.6345
"9",849.5,-6.505
"10",869.5,-6.4775
"11",889.5,-6.5005
"12",909.5,-6.3235
"13",929.5,46.4025
"14",949.5,146.633
"15",969.5,101.2055
"16",989.5,73.9675
"17",1009.5,53.843
"18",1029.5,22.339
"19",1049.5,32.3835
"20",1069.5,22.5175
"21",1089.5,17.0255
"22",1109.5,8.036
"23",1129.5,4.9975
"24",1149.5,16.3795
"25",1169.5,3.042
"26",1189.5,5.3625
"27",1209.5,12.156
"28",1229.5,10.11
"29",1249.5,12.042
"30",1269.5,5.847
"31",1289.5,8.7525
"32",1309.5,10.829
"33",1329.5,31.9125
"34",1349.5,34.1355
"35",1369.5,23.387
"36",1389.5,8.228
"37",1409.5,3.615
"38",1429.5,5.7015
"39",1449.5,27.269
"40",1469.5,23.2315
"41",1489.5,15.11
"42",1509.5,20.657
"43",1529.5,14.909
"44",1549.5,-1.054
"45",1569.5,-4.9755
"46",1589.5,-3.654
"47",1609.5,-2.6735
"48",1629.5,-3.493
"49",1649.5,-1.5235
"50",1669.5,-1.8135
"51",1689.5,-3.2095
"52",1709.5,-2.7525
"53",1729.5,3.586
"54",1749.5,3.0315
"55",1769.5,-0.781
"56",1789.5,2.8925
"57",1809.5,5.977
"58",1829.5,11.3245
"59",1849.5,44.783
"60",1869.5,42.3885
"61",1889.5,21.1525
"62",1909.5,15.6275
"63",1929.5,6.8745
"64",1949.5,4.4945
"65",1969.5,5.226
"66",1989.5,5.899
"67",2009.5,2.4885
"68",2029.5,-3.844
"69",2049.5,-4.636
"70",2069.5,-4.736
"71",2089.5,-3.894
"72",2109.5,-4.12
"73",2129.5,-1.7
"74",2149.5,-3.8485
"75",2169.5,-3.9165
"76",2189.5,-3.4415
"77",2209.5,-2.57
"78",2229.5,-1.9455
"79",2249.5,-1.891
"80",2269.5,-2.344
"81",2289.5,-0.1605
"82",2309.5,7.4115
"83",2329.5,14.981
"84",2349.5,28.403
"85",2369.5,50.419
"86",2389.5,43.505
"87",2409.5,32.691
"88",2429.5,22.4925
"89",2449.5,9.058
"90",2469.5,5.324
"91",2489.5,5.895
"92",2509.5,6.609
"93",2529.5,5.2845
"94",2549.5,-0.324
"95",2569.5,-5.293
"96",2589.5,-5.457
"97",2609.5,-5.131
"98",2629.5,3.545
"99",2649.5,-3.8555
"100",2669.5,-4.0465
"101",2689.5,-4.716
"102",2709.5,-0.239
"103",2729.5,2.5205
"104",2749.5,-0.529
"105",2769.5,-0.296
"106",2789.5,-2.8125
"107",2809.5,-3.246
"108",2829.5,-2.967
"109",2849.5,-2.747
"110",2869.5,-1.3665
"111",2889.5,-2.357
"112",2909.5,-3.284
"113",2929.5,-2.9745
"114",2949.5,-2.865
"115",2969.5,-2.5705
"116",2989.5,-1.824
"117",3009.5,-3.327
"118",3029.5,-1.4
"119",3049.5,0.8815
"120",3069.5,-2.906
"121",3089.5,-1.8975
"122",3109.5,0.1665
"123",3129.5,53.2305
"124",3149.5,70.6275
"125",3169.5,52.6705
"126",3189.5,29.7655
"127",3209.5,19.578
"128",3229.5,14.3125
"129",3249.5,8.922
"130",3269.5,6.2255
"131",3289.5,6.978
"132",3309.5,7.796
"133",3329.5,2.8935
"134",3349.5,-3.7465
"135",3369.5,-1.987
"136",3389.5,-5.3615
"137",3409.5,-5.611
"138",3429.5,-5.9775
"139",3449.5,-6.0925
"140",3469.5,-6.1085
"141",3489.5,-6.13
"142",3509.5,-6.1335
"143",3529.5,-5.8785
"144",3549.5,-5.537
"145",3569.5,-5.7875
"146",3589.5,-5.6275
"147",3609.5,-5.2245
"148",3629.5,-5.302
"149",3649.5,-4.8445
"150",3669.5,-4.5265
"151",3689.5,-3.712
"152",3709.5,-3.111
"153",3729.5,-0.382
"154",3749.5,-0.4325
"155",3769.5,0.8125
"156",3789.5,0.938
"157",3809.5,-0.077
"158",3829.5,0.04
"159",3849.5,-0.6845
"160",3869.5,3.34
"161",3889.5,4.0675
"162",3909.5,38.1905
"163",3929.5,85.508
"164",3949.5,62.5415
"165",3969.5,38.394
"166",3989.5,19.603
"167",4009.5,-1.538
"168",4029.5,18.5785
"169",4049.5,25.581
"170",4069.5,14.993
"171",4089.5,5.0305
"172",4109.5,5.207
"173",4129.5,5.8975
"174",4149.5,2.9385
"175",4169.5,-3.741
"176",4189.5,-6.114
"177",4209.5,-6.344
"178",4229.5,-6.37
"179",4249.5,-6.403
"180",4269.5,-6.3965
"181",4289.5,-6.4015
"182",4309.5,-6.3595
"183",4329.5,-6.379
"184",4349.5,-6.4225
"185",4369.5,-6.4065
"186",4389.5,-6.3545
"187",4409.5,-6.168
"188",4429.5,-6.1005
"189",4449.5,-4.5785
"190",4469.5,-4.444
"191",4489.5,-2.277
"192",4509.5,-3.677
"193",4529.5,-3.5415
"194",4549.5,-2.364
"195",4569.5,-3.798
"196",4589.5,1.8865
"197",4609.5,1.154
"198",4629.5,16.622
"199",4649.5,33.336
"200",4669.5,68.246
"201",4689.5,62.234
"202",4709.5,44.154
"203",4729.5,32.2385
"204",4749.5,20.7655
"205",4769.5,7.0495
"206",4789.5,1.6385
"207",4809.5,3.1435
"208",4829.5,2.568
"209",4849.5,0.1075
"210",4869.5,-5.708
"211",4889.5,-6.5435
"212",4909.5,-6.629
"213",4929.5,-6.6765
"214",4949.5,-6.7005
"215",4969.5,-6.7305
"216",4989.5,-6.7095
"217",5009.5,-6.65
"218",5029.5,-6.6825
"219",5049.5,-6.697
"220",5069.5,-6.6865
"221",5089.5,-6.677
"222",5109.5,-6.75
"223",5129.5,-6.683
"224",5149.5,-6.6495
"225",5169.5,-6.4995
"226",5189.5,-6.3595
"227",5209.5,-5.2405
"228",5229.5,-5.6585
"229",5249.5,-4.734
"230",5269.5,-4.326
"231",5289.5,-5.0095
"232",5309.5,-3.867
"233",5329.5,-2.843
"234",5349.5,0.561
"235",5369.5,8.3865
"236",5389.5,37.5505
"237",5409.5,77.5215
"238",5429.5,69.0025
"239",5449.5,46.265
"240",5469.5,32.045
"241",5489.5,13.0135
"242",5509.5,0.0165
"243",5529.5,-0.474
"244",5549.5,3.016
"245",5569.5,2.8955
"246",5589.5,-0.543
"247",5609.5,-6.219
"248",5629.5,-6.7815
"249",5649.5,-6.8845
"250",5669.5,-6.9
"251",5689.5,-6.9235
"252",5709.5,-6.932
"253",5729.5,-6.933
"254",5749.5,-6.925
"255",5769.5,-6.905
"256",5789.5,-6.9205
"257",5809.5,-6.924
"258",5829.5,-6.912
"259",5849.5,-6.8795
"260",5869.5,-6.838
"261",5889.5,-6.5695
"262",5909.5,-6.0395
"263",5929.5,-6.1775
"264",5949.5,-5.8405
"265",5969.5,-4.8495
"266",5989.5,-4.4775
"267",6009.5,-4.2535
"268",6029.5,-5.2515
"269",6049.5,-3.8965
"270",6069.5,-2.7425
"271",6089.5,-2.934
"272",6109.5,-1.6
"273",6129.5,-0.4935
"274",6149.5,14.3185
"275",6169.5,56.944
"276",6189.5,91.057
"277",6209.5,64.585
"278",6229.5,43.2745
"279",6249.5,32.0175
"280",6269.5,19.749
"281",6289.5,4.472
"282",6309.5,-1.3765
"283",6329.5,1.3895
"284",6349.5,2.3615
"285",6369.5,2.1275
"286",6389.5,2.3175
"287",6409.5,-5.257
"288",6429.5,-6.8695
"289",6449.5,-6.992
"290",6469.5,-7.0595
"291",6489.5,-7.04
"292",6509.5,-7.0835
"293",6529.5,-7.1155
"294",6549.5,-7.0895
"295",6569.5,-7.137
"296",6589.5,-7.134
"297",6609.5,-7.145
"298",6629.5,-7.1725
"299",6649.5,-7.1815
"300",6669.5,-7.149
"301",6689.5,-7.136
"302",6709.5,-7.0645
"303",6729.5,-6.9745
"304",6749.5,-6.8135
"305",6769.5,-6.5315
"306",6789.5,-5.7405
"307",6809.5,-5.083
"308",6829.5,-5.3355
"309",6849.5,-4.321
"310",6869.5,-4.1
"311",6889.5,-1.938
"312",6909.5,-1.8075
"313",6929.5,-2.308
"314",6949.5,-2.132
"315",6969.5,-0.5575
"316",6989.5,0.61
"317",7009.5,23.995
"318",7029.5,82.537
"319",7049.5,88.289
"320",7069.5,57.449
"321",7089.5,39.038
"322",7109.5,28.7645
"323",7129.5,20.169
"324",7149.5,8.4895
"325",7169.5,-2.0835
"326",7189.5,-0.5735
"327",7209.5,3.446
"328",7229.5,1.955
"329",7249.5,1.684
"330",7269.5,-5.5635
"331",7289.5,-7.17
"332",7309.5,-7.353
"333",7329.5,-7.3755
"334",7349.5,-7.435
"335",7369.5,-7.4715
"336",7389.5,-7.471
"337",7409.5,-7.4125
"338",7429.5,-7.427
"339",7449.5,-7.376
"340",7469.5,-7.377
"341",7489.5,-7.377
"342",7509.5,-7.3865
"343",7529.5,-7.3545
"344",7549.5,-7.3525
"345",7569.5,-7.1345
"346",7589.5,-6.8955
"347",7609.5,-6.5645
"348",7629.5,-6.468
"349",7649.5,-5.527
"350",7669.5,-5.049
"351",7689.5,-4.8585
"352",7709.5,-4.6535
"353",7729.5,-4.1325
"354",7749.5,-3.648
"355",7769.5,-3.678
"356",7789.5,-3.936
"357",7809.5,-2.2695
"358",7829.5,0.5675
"359",7849.5,18.212
"360",7869.5,60.128
"361",7889.5,90.348
"362",7909.5,62.5115
"363",7929.5,41.969
"364",7949.5,31.057
"365",7969.5,21.3155
"366",7989.5,5.2205
"367",8009.5,-0.6045
"368",8029.5,1.2015
"369",8049.5,2.5815
"370",8069.5,4.0425
"371",8089.5,-3.1915
"372",8109.5,-6.96
"373",8129.5,-7.356
"374",8149.5,-7.388
"375",8169.5,-7.4455
"376",8189.5,-7.459
"377",8209.5,-7.447
"378",8229.5,-7.44
"379",8249.5,-7.4415
"380",8269.5,-7.4405
"381",8289.5,-7.456
"382",8309.5,-7.476
"383",8329.5,-7.461
"384",8349.5,-7.448
"385",8369.5,-7.2995
"386",8389.5,6.53
"387",8409.5,95.2065
"388",8429.5,0.883
"389",8449.5,-7.215
"390",8469.5,-8.026
"391",8489.5,-8.215
"392",8509.5,-8.259
